"NAME","ACCOUNTNAME__C","ACCOUNTNUMBER__C","SALESAREANAME__C","SHOPPINGCART__C","url","PAYMENTPAGEURL__C"
"SA00508425","0015F000017qXoIQAU","SP00817101","白寿の源 オンラインショップ （PC・スマホ）","EC-CUBE","http://reason-why.jp/hakuju/","http://repeat-order.com/tanoshii_seiyaku/html/order/index.php"
"SA00507720","0015F000018ixxcQAA","SP00815643","アニメイトオンラインショップ　（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://www.animate-onlineshop.jp/",""
"SA00477836","0011000000tAOHVAA4","SP00750152","シルフィホワイト　（PC・スマホ）","EC-CUBE","http://www.cheers-life.com/sylphy/",""
"SA00517084","0015F00001D0h1nQAB","SP00830270","EQUL","EC-CUBE","http://equl.jp/",""
"SA00512184","0015F00001AP4ziQAD","SP00824569","おいしい産業 インターネット店（PC・スマホ）","EC-CUBE","http://oic.co.jp",""
"SA00485604","00110000011woFUAAY","SP00774388","メガネ本舗オンラインショップ  （PC・スマホ）","EC-CUBE","http://ec.meganehompo.co.jp/",""
"SA00514387","0015F00001BvHwVQAV","SP00826884","未記入","EC-CUBE","https://seikado.net",""
"SA00477904","0011000000tBEHRAA4","SP00750178","全国牧場直送便（PC)","EC-CUBE","http://www.bokujochoku.com/",""
"SA00477985","0011000000rGVD9AAO","SP00748614","ドワンゴジェイピーストア（PC・スマホ）","EC-CUBE","http://jpstore.dwango.jp",""
"SA00478015","0011000000IanpGAAR","SP00652965","アニモファミール（PC・スマホ）","EC-CUBE","http://shop.animaux-famille.jp",""
"SA00478014","0011000000IanpGAAR","SP00652965","ホワイトカルレ（PC・スマホ）","EC-CUBE","http://shop.whitecalle.jp",""
"SA00506768","0015F000018ffCXQAY","SP00814230","サプリメント，食品添加物，食品，エコ系洗剤通信販売のマルゴ（PC・スマホ）","EC-CUBE","http://www.marugo.org/",""
"SA00477944","0011000000IakobAAB","SP00641601","SHINY　PRO　SHOP　（PC・スマホ）","EC-CUBE","http://wbw.co.jp/pro/",""
"SA00482437","0011000000yfJXsAAM","SP00770705","ウメケン販売オンラインストア　（PC・スマホ）","EC-CUBE","http://umeken-h.info",""
"SA00513293","0015F00001B8ptCQAR","SP00825411","ズバットナー（PC）","EC-CUBE","http://www.zubattoner.com/",""
